Shipment_ID,Date,Country,Port_of_Loading,Commodity,Quantity_Tons,Export_Value_USD,Shipping_Cost_USD,Transport_Mode,Delivery_Days,Trade_Term_INCOTERM,Container_Type,Carrier
SHP1000,2019-12-24,Brazil,Nhava Sheva,Chemicals,146.36158351632574,168600.4543330193,2391.972638368916,Sea,21.0,DAP,Reefer,FedEx
SHP1001,2024-07-20,UK,Chennai,Electronics,27.26583714624077,130194.49090274711,,Sea,14.0,EXW,Open Top,Maersk
SHP1002,2023-05-07,China,Kolkata,Chemicals,106.07215087369067,69618.40791544064,16622.387245516715,Road,,DDP,Reefer,FedEx
SHP1003,2010-04-19,Japan,Mumbai,Pharma,,156356.13687453137,16078.53713689238,Sea,12.0,FOB,FCL,CMA CGM
SHP1004,2017-11-12,Brazil,Cochin,Electronics,38.97108163892124,,,Road,18.0,EXW,Open Top,FedEx
SHP1005,2017-02-13,Germany,Cochin,Textiles,192.7638686647173,197083.45764397853,15907.594358718054,Road,30.0,FOB,Reefer,DHL
SHP1006,2007-09-30,Brazil,Kolkata,Textiles,39.23805663875018,51006.2134568212,13485.450357136464,Air,21.0,EXW,Reefer,FedEx
SHP1007,2008-07-25,China,Mumbai,Machinery,39.62379434407844,17771.85650431562,13462.700108562514,Sea,42.0,EXW,LCL,Maersk
SHP1008,2006-01-08,Japan,Nhava Sheva,Pharma,183.4575919050382,15838.57875381364,13413.7635903378,Road,8.0,EXW,Open Top,DHL
SHP1009,2018-10-24,UK,Chennai,Automobiles,95.71505945872586,128726.01689363272,10378.047235628444,Sea,6.0,CIF,FCL,Maersk
SHP1010,2006-11-30,China,Mumbai,Pharma,17.321714458530657,187973.5253244817,7394.27522260392,Road,32.0,DAP,Open Top,MSC
SHP1011,2016-06-14,China,Cochin,Textiles,121.64656248801307,2382.519029718027,14657.866269998787,Road,41.0,DDP,FCL,MSC
SHP1012,2010-09-01,Germany,Kolkata,Automobiles,,145702.6672976399,6113.191069017484,Air,33.0,DAP,LCL,DHL
SHP1013,2007-08-26,Australia,Kolkata,Pharma,17.57764794387955,132098.9061415232,10949.46220325686,Road,29.0,DAP,LCL,MSC
SHP1014,2022-09-03,Japan,Chennai,Pharma,,146996.23005945425,8780.44128031405,Air,,FOB,FCL,MSC
SHP1015,2009-08-26,UAE,Kolkata,Automobiles,111.08584323244224,72370.27053894244,5677.121086455282,Sea,,CIF,FCL,CMA CGM
SHP1016,2015-06-12,China,Kolkata,Textiles,114.16016582505404,164458.2960422553,19498.860424958773,Air,11.0,CIF,FCL,Maersk
SHP1017,2020-03-18,Australia,Mumbai,Pharma,106.42250582796692,10851.972420934666,,Air,37.0,EXW,LCL,MSC
SHP1018,2020-03-22,UAE,Nhava Sheva,Automobiles,124.0926970307009,,6324.002661715994,Sea,44.0,DAP,Open Top,DHL
SHP1019,2023-09-23,Japan,Chennai,Food Products,56.53845179088221,54880.244387119375,3399.432534809752,Air,23.0,DDP,LCL,CMA CGM
SHP1020,2023-02-03,USA,Mumbai,Food Products,61.01206285509396,96413.87942189816,16495.01638122295,Air,19.0,FOB,Reefer,MSC
SHP1021,2023-04-19,Australia,Nhava Sheva,Textiles,104.71112251024589,164881.98176832966,11814.47013097889,Road,26.0,CIF,LCL,FedEx
